       date symbol     name   dx  cci if1      if3      if5     if10 score
 2024-11-14 601898 中煤能源 0.11 0.12  -1    -7.23    -3.49    -5.09  1.77
 2024-11-14 603016   新宏泰 0.57 0.41   1     1.47     1.39    -2.59  1.77
 2024-11-14 600435 北方导航 0.61 0.38  -1     0.74     0.19     0.78  1.76
 2024-11-14 603179 新泉股份 0.72 0.52   1    12.11    13.39    22.40  1.76
 2024-11-14 603757 大元泵业 0.70 0.54   1     6.19     8.77     1.95  1.76
 2024-11-14 002948 青岛银行 0.58 0.42   1    -0.03     0.55     4.52  1.75
 2024-11-14 603698 航天工程 0.66 0.59   1     0.84     0.81     0.19  1.75
 2024-11-14 002153 石基信息 0.69 0.57   1     0.37     0.51     0.67  1.74
 2024-11-14 600295 鄂尔多斯 0.71 0.54   1     2.95     3.07     3.20  1.74
 2024-11-14 600543 莫高股份 0.41 0.10  -1     6.15    -1.61   -33.32  1.74
 2024-11-14 603197 保隆科技 0.76 0.50   1     1.73     2.97     3.12  1.74
 2024-11-14 000951 中国重汽 0.41 0.60   1    -5.39    23.49   178.10  1.73
 2024-11-14 002333 罗普斯金 0.74 0.53   1     1.47     3.00     0.35  1.73
 2024-11-14 002410   广联达 0.52 0.50   1     2.91     3.90    -1.56  1.73
 2024-11-14 600229 城市传媒 0.72 0.55   1     0.25     0.44     1.11  1.73
 2024-11-14 600755 厦门国贸 0.61 0.41   1     1.93     1.35    -3.05  1.73
 2024-11-14 601865   福莱特 0.51 0.51   1     0.62     0.51    -2.83  1.73
 2024-11-14 601899 紫金矿业 0.33 0.19   1  -100.83  -154.03  -157.44  1.73
 2024-11-14 601988 中国银行 0.22 0.04  -1   -10.10   -16.97   -24.45  1.73
 2024-11-14 001696 宗申动力 0.45 0.33   1     0.64    -0.64    -9.69  1.72
 2024-11-14 002401 中远海科 0.70 0.58   1     0.93     1.17     0.02  1.72
 2024-11-14 002859 洁美科技 0.53 0.50   1    -2.49    14.06    45.74  1.72
 2024-11-14 600019 宝钢股份 0.66 0.37   1    -0.47     3.43     6.06  1.72
 2024-11-14 600038 中直股份 0.66 0.37  -1     3.61     2.79     3.05  1.72
 2024-11-14 600365   ST通葡 0.72 0.57   1     1.18     2.25     2.04  1.72
 2024-11-14 600900 长江电力 0.23 0.30   1    -3.95    -5.51   -11.27  1.72
 2024-11-14 603156 养元饮品 0.58 0.45   1     1.43     2.06    -0.14  1.72
 2024-11-14 603366 日出东方 0.52 0.50   1    -0.30     0.38     1.23  1.72
 2024-11-14 603568 伟明环保 0.67 0.61   1     1.59     1.56     1.26  1.72
 2024-11-14 000663 永安林业 0.65 0.65   1     1.70     0.88     0.33  1.71
 2024-11-14 002215 诺 普 信 0.73 0.56   1     1.11     0.41     0.86  1.71
 2024-11-14 002732 燕塘乳业 0.74 0.54   1    39.20   373.70   450.81  1.71
 2024-11-14 600483 福能股份 0.62 0.68   1     3.20     4.65    11.16  1.71
 2024-11-14 600604 市北高新 0.60 0.45   1     0.93     0.29    -0.57  1.71
 2024-11-14 600664 哈药股份 0.74 0.55   1     2.27     1.76     3.63  1.71
 2024-11-14 603721 中广天择 0.65 0.63   1     2.57     1.23     0.41  1.71
 2024-11-14 603766 隆鑫通用 0.57 0.47   1     2.55     3.74    -7.15  1.71
 2024-11-14 603801 志邦家居 0.82 0.46   1     6.58    24.39    45.28  1.71
 2024-11-14 603982 泉峰汽车 0.73 0.56   1     4.87    16.82     3.98  1.71
 2024-11-14 000703 恒逸石化 0.72 0.58   1     2.05     2.36     2.57  1.70
 2024-11-14 002031 巨轮智能 0.84 0.46   1    10.67     6.42    10.82  1.70
 2024-11-14 002120 韵达股份 0.74 0.56   1     1.39    13.13    13.48  1.70
 2024-11-14 002244 滨江集团 0.05 0.24  -1    -2.41    -3.46    -1.91  1.70
 2024-11-14 600748 上实发展 0.72 0.58   1     1.10     2.93     1.92  1.70
 2024-11-14 603833 欧派家居 0.82 0.48   1     2.22    25.36    56.49  1.70
 2024-11-14 000006 深振业Ａ 0.62 0.43  -1     0.65     2.63     2.03  1.69
 2024-11-14 000014 沙河股份 0.61 0.44   1     1.34     0.28    -1.67  1.69
 2024-11-14 002227 奥 特 迅 0.71 0.61   1     1.29     1.23     0.05  1.69
 2024-11-14 002938 鹏鼎控股 0.34 0.22   1    -1.03    -4.09    -3.24  1.69
 2024-11-14 600761 安徽合力 0.46 0.35   1     4.77    -0.26    -3.91  1.69
 2024-11-14 600845 宝信软件 0.79 0.52   1    42.55   135.42    50.08  1.69
 2024-11-14 603055 台华新材 0.72 0.59   1     3.86     5.29     5.61  1.69
 2024-11-14 603301 振德医疗 0.59 0.47  -1    67.67    52.17   122.98  1.69
 2024-11-14 603328 依顿电子 0.66 0.40   1     1.87     0.70    -4.46  1.69
 2024-11-14 000037  深南电A 0.76 0.55   1     2.12     0.46     4.22  1.68
 2024-11-14 000682 东方电子 0.20 0.12  -1    -2.24    -2.31    -3.86  1.68
 2024-11-14 000880 潍柴重机 0.69 0.38   1     0.44    28.14   -22.10  1.68
 2024-11-14 002050 三花智控 0.59 0.47  -1     2.30     1.32     2.46  1.68
 2024-11-14 002839 张家港行 0.72 0.60   1    28.38    36.53    49.20  1.68
 2024-11-14 600825 新华传媒 0.76 0.56   1     0.65     0.24     0.15  1.68
 2024-11-14 600846 同济科技 0.69 0.63   1     0.46     0.28     0.64  1.68
 2024-11-14 601336 新华保险 0.47 0.36  -1    -2.67     1.93     4.20  1.68
 2024-11-14 603320 迪贝电气 0.75 0.57   1     0.23     3.96     1.20  1.68
 2024-11-14 000581 威孚高科 0.68 0.65   1     1.08     1.28     1.48  1.67
 2024-11-14 000586 汇源通信 0.67 0.41   1     0.82     0.45    -1.31  1.67
 2024-11-14 002468 申通快递 0.30 0.03  -1    -2.11    -4.58   -10.94  1.67
 2024-11-14 600266 城建发展 0.06 0.27  -1    -1.08    -2.53    -1.55  1.67
 2024-11-14 600459 贵研铂业 0.74 0.59   1    16.21    12.64     9.81  1.67
 2024-11-14 000020 深华发Ａ 0.28 0.31  -1     3.07   -12.07   -61.02  1.66
 2024-11-14 000596 古井贡酒 0.76 0.58   1     1.51     4.17     9.51  1.66
 2024-11-14 000708 中信特钢 0.71 0.63   1     2.33     5.19     8.62  1.66
 2024-11-14 000913 钱江摩托 0.60 0.49  -1     0.43     1.06     1.56  1.66
 2024-11-14 002180   纳思达 0.58 0.51   1    -1.93     2.10     1.39  1.66
 2024-11-14 002372 伟星新材 0.59 0.25   1    -0.09     1.76    -1.62  1.66
 2024-11-14 002594   比亚迪 0.42 0.17  -1     0.23    -1.45    -3.63  1.66
 2024-11-14 600189   泉阳泉 0.32 0.02  -1    -9.03   -11.71   -16.49  1.66
 2024-11-14 600757 长江传媒 0.73 0.61   1     0.97     0.40     0.49  1.66
 2024-11-14 603086 先达股份 0.83 0.51   1     0.60     0.40     1.20  1.66
 2024-11-14 603558 健盛集团 0.34 0.00  -1    -2.69    -8.62   -12.74  1.66
 2024-11-14 000513 丽珠集团 0.46 0.39  -1    -2.27     0.99     4.99  1.65
 2024-11-14 000720 新能泰山 0.78 0.58   1     1.49     1.72     1.63  1.65
 2024-11-14 000892 欢瑞世纪 0.41 0.44   1    -2.95    -2.64     3.02  1.65
 2024-11-14 002467   二六三 0.80 0.56   1    12.65    11.15    14.35  1.65
 2024-11-14 600388 龙净环保 0.29 0.30   1    -4.42    -8.78   -12.80  1.65
 2024-11-14 600547 山东黄金 0.28 0.32   1    -2.59   -10.17   -16.72  1.65
 2024-11-14 601028 玉龙股份 0.22 0.37   1    -1.06    -3.19    -7.94  1.65
 2024-11-14 601598 中国外运 0.64 0.46   1    -0.18     2.00     1.39  1.65
 2024-11-14 000016 深康佳Ａ 0.07 0.29  -1    -4.81    -4.17   -42.03  1.64
 2024-11-14 000859 国风新材 0.49 0.37  -1     0.16     1.33    -2.21  1.64
 2024-11-14 002134 天津普林 0.76 0.60   1     0.51     7.36     5.93  1.64
 2024-11-14 002434   万里扬 0.78 0.58   1     2.47     2.79     4.67  1.64
 2024-11-14 002472 双环传动 0.67 0.44   1     1.26     0.61    -0.09  1.64
 2024-11-14 002668  TCL智家 0.26 0.10  -1    -2.17    -4.00    -6.48  1.64
 2024-11-14 002775 文科股份 0.22 0.14  -1   -12.20   -17.07   -21.91  1.64
 2024-11-14 600033 福建高速 0.79 0.57   1    24.30    28.23     4.89  1.64
 2024-11-14 600623 华谊集团 0.72 0.63   1     0.46     1.00     1.45  1.64
 2024-11-14 603258 电魂网络 0.80 0.56   1     1.62     0.51     0.36  1.64
 2024-11-14 603383 XD顶点软 0.62 0.49  -1     2.97     0.53     0.34  1.64
 2024-11-14 000004 国华网安 0.29 0.09  -1    -3.67    -4.77    -8.11  1.63
 2024-11-14 000045 深纺织Ａ 0.62 0.25   1     0.36    -2.57   -11.69  1.63
 2024-11-14 002192 融捷股份 0.77 0.60   1     5.06     1.97     3.00  1.63
 2024-11-14 002243 力合科创 0.47 0.39  -1     1.82     0.97   -27.00  1.63
 2024-11-14 002406 远东传动 0.41 0.21   1    -3.11    -5.83   -34.25  1.63
 2024-11-14 002851 麦格米特 0.71 0.41   1     0.58     0.75    -2.88  1.63
 2024-11-14 600216 浙江医药 0.61 0.26   1   -21.72   -30.77    25.70  1.63
 2024-11-14 600475 华光环能 0.74 0.63   1     0.84     1.15     1.29  1.63
 2024-11-14 600638   新黄浦 0.66 0.46   1    -0.12     0.19     1.67  1.63
 2024-11-14 603515 欧普照明 0.53 0.59  -1    91.70   125.76   137.66  1.63
 2024-11-14 603680 今创集团 0.70 0.42  -1     0.06     0.31     5.92  1.63
 2024-11-14 000897 津滨发展 0.62 0.51   1     3.45     0.02    -8.28  1.62
 2024-11-14 002376   新北洋 0.38 0.24   1   -22.83   -37.92   -60.99  1.62
 2024-11-14 002418 康盛股份 0.80 0.58   1     0.08     1.72     0.67  1.62
 2024-11-14 002484 江海股份 0.75 0.63   1    11.65    17.83    16.96  1.62
 2024-11-14 600556   天下秀 0.80 0.58   1     1.62     0.83     1.94  1.62
 2024-11-14 601229 上海银行 0.47 0.17   1    -1.46    -1.26    -4.44  1.62
 2024-11-14 603021 山东华鹏 0.68 0.45   1     0.73     0.52    -4.22  1.62
 2024-11-14 000011  深物业A 0.62 0.52  -1     0.95     1.46     0.34  1.61
 2024-11-14 000529 广弘控股 0.79 0.61   1     3.35     7.09     5.80  1.61
 2024-11-14 000598 兴蓉环境 0.79 0.60   1     2.50     1.76     5.39  1.61
 2024-11-14 002475 立讯精密 0.42 0.22  -1     0.75   -12.25   -29.91  1.61
 2024-11-14 002628 成都路桥 0.20 0.19  -1    -2.67    -1.05   -17.47  1.61
 2024-11-14 002738 中矿资源 0.84 0.55   1    14.60     5.44    12.06  1.61
 2024-11-14 002771   真视通 0.39 0.26   1    -6.11    -5.48   -22.56  1.61
 2024-11-14 600469 风神股份 0.56 0.33  -1    -1.66     2.30     3.85  1.61
 2024-11-14 600712 南宁百货 0.63 0.51   1   179.23    76.87  -407.30  1.61
 2024-11-14 600919 江苏银行 0.42 0.22   1    -9.00   -17.73    -9.16  1.61
 2024-11-14 000061 农 产 品 0.59 0.56   1    -0.43     2.09    11.37  1.60
 2024-11-14 000078 海王生物 0.83 0.57   1     3.96     1.69     2.29  1.60
 2024-11-14 002025 航天电器 0.44 0.21  -1     1.26    -0.80    -2.71  1.60
 2024-11-14 002160 常铝股份 0.83 0.57   1     2.89     0.94     2.35  1.60
 2024-11-14 002256 兆新股份 0.59 0.57  -1     0.80     0.87     0.52  1.60
 2024-11-14 002542 中化岩土 0.43 0.47   1     0.44    -7.79   -13.15  1.60
 2024-11-14 002606 大连电瓷 0.37 0.28  -1     0.50    -1.30    -6.83  1.60
 2024-11-14 600323 瀚蓝环境 0.62 0.28  -1     3.01    -1.63     9.49  1.60
 2024-11-14 600663   陆家嘴 0.66 0.50   1     0.10     0.11    -4.94  1.60
 2024-11-14 600886 国投电力 0.75 0.40   1     0.19     0.05    -1.30  1.60
 2024-11-14 601577 长沙银行 0.60 0.30  -1    -2.48     9.04    25.45  1.60
 2024-11-14 601869 长飞光纤 0.67 0.48   1    -1.75     5.42     0.15  1.60
 2024-11-14 603039 泛微网络 0.83 0.57   1     0.63     0.05     0.25  1.60
 2024-11-14 603877   太平鸟 0.65 0.49   1    -5.35     2.81     0.05  1.60
 2024-11-14 603979   金诚信 0.51 0.39   1    -2.71     0.93    -2.48  1.60
 2024-11-14 002128 电投能源 0.81 0.60   1     3.91     5.99     4.80  1.59
 2024-11-14 002299 圣农发展 0.80 0.60   1    33.12   149.83   219.56  1.59
 2024-11-14 002430 杭氧股份 0.74 0.42   1    -2.37     3.96     3.53  1.59
 2024-11-14 600076 康欣新材 0.69 0.47   1     0.54    -0.22     0.05  1.59
 2024-11-14 600626 申达股份 0.70 0.71   1     0.76     1.27     1.80  1.59
 2024-11-14 603997 继峰股份 0.55 0.36   1   -20.09   -21.62     0.04  1.59
 2024-11-14 002144 宏达高科 0.78 0.63   1     2.50     2.27     1.30  1.58
 2024-11-14 002190 成飞集成 0.66 0.51  -1     5.96     4.39     3.87  1.58
 2024-11-14 002292 奥飞娱乐 0.80 0.63   1     1.19     0.72     0.75  1.58
 2024-11-14 002911 佛燃能源 0.72 0.70   1    14.63    11.75   129.14  1.58
 2024-11-14 600373 中文传媒 0.20 0.47   1   -10.37    -9.74   -27.78  1.58
 2024-11-14 600486 扬农化工 0.64 0.28  -1    -2.99     4.20     0.62  1.58
 2024-11-14 600635 大众公用 0.68 0.48   1     1.80     0.41    -6.13  1.58
 2024-11-14 600725 云维股份 0.64 0.28  -1     2.57     1.94   -12.60  1.58
 2024-11-14 600926 杭州银行 0.49 0.43  -1    -1.65     0.92     3.82  1.58
 2024-11-14 601101 昊华能源 0.48 0.44  -1    -0.70     0.28     5.88  1.58
 2024-11-14 000520 凤凰航运 0.67 0.51   1     0.01     0.01    -9.43  1.57
 2024-11-14 000536 华映科技 0.16 0.26  -1    -2.30   -20.67   -33.17  1.57
 2024-11-14 002236 大华股份 0.78 0.66   1     1.49     1.23     3.94  1.57
 2024-11-14 002396 星网锐捷 0.82 0.36  -1    19.37    21.92    17.41  1.57
 2024-11-14 600281 华阳新材 0.71 0.73   1     0.90     0.68     0.56  1.57
 2024-11-14 600624 复旦复华 0.31 0.37   1    -3.38    -3.23    -9.23  1.57
 2024-11-14 601137 博威合金 0.89 0.53   1     1.05     0.32     0.28  1.57
 2024-11-14 603059   倍加洁 0.86 0.57   1     0.02     0.47     0.97  1.57
 2024-11-14 603729 龙韵股份 0.80 0.63   1     1.52     1.28     0.05  1.57
 2024-11-14 002130 沃尔核材 0.37 0.32   1    -1.52    -2.73   -10.20  1.56
 2024-11-14 002327   富安娜 0.63 0.31  -1     0.18    -0.40     4.10  1.56
