index,symbol,name,weight
000985,000001,平安银行,0.002291134915690259
000985,000002,万科A,9.043953614566812e-4
000985,000006,深振业A,1.4068372289326154e-4
000985,000007,全新好,4.0195349398074726e-5
000985,000008,神州高铁,1.1053721084470548e-4
000985,000009,中国宝安,3.416604698836352e-4
000985,000010,美丽生态,5.0244186747593404e-5
000985,000011,深物业A,4.0195349398074726e-5
000985,000012,南  玻A,1.1053721084470548e-4
000985,000014,沙河股份,5.0244186747593404e-5
000985,000016,深康佳A,1.2058604819422417e-4
000985,000017,深中华A,3.014651204855604e-5
000985,000019,深粮控股,4.0195349398074726e-5
000985,000020,深华发A,2.0097674699037363e-5
000985,000021,深科技,4.6224651807785935e-4
000985,000025,特力A,7.034186144663077e-5
000985,000026,飞亚达,7.034186144663077e-5
000985,000027,深圳能源,1.8087907229133625e-4
000985,000028,国药一致,1.0048837349518681e-4
000985,000029,深深房A,1.507325602427802e-4
000985,000030,富奥股份,6.029302409711208e-5
000985,000031,大悦城,8.039069879614945e-5
000985,000032,深桑达A,2.4117209638844833e-4
000985,000034,神州数码,5.02441867475934e-4
000985,000035,中国天楹,1.507325602427802e-4
000985,000036,华联控股,8.039069879614945e-5
000985,000037,深南电A,4.0195349398074726e-5
000985,000039,中集集团,2.9141628313604176e-4
000985,000042,中洲控股,6.029302409711208e-5
000985,000045,深纺织A,5.0244186747593404e-5
000985,000048,京基智农,8.039069879614945e-5
000985,000049,德赛电池,1.1053721084470548e-4
000985,000050,深天马A,2.4117209638844833e-4
000985,000055,方大集团,5.0244186747593404e-5
000985,000056,皇庭国际,4.0195349398074726e-5
000985,000058,深赛格,5.0244186747593404e-5
000985,000059,华锦股份,1.0048837349518681e-4
000985,000060,中金岭南,2.713186084370044e-4
000985,000061,农 产 品,1.2058604819422417e-4
000985,000062,深圳华强,2.51220933737967e-4
000985,000063,中兴通讯,0.0028639186446128236
000985,000065,北方国际,1.2058604819422417e-4
000985,000066,中国长城,6.732721024177516e-4
000985,000068,华控赛格,4.0195349398074726e-5
000985,000069,华侨城A,1.8087907229133625e-4
000985,000078,海王生物,8.039069879614945e-5
000985,000088,盐田港,7.034186144663077e-5
000985,000089,深圳机场,1.507325602427802e-4
000985,000090,天健集团,9.043953614566812e-5
000985,000096,广聚能源,6.029302409711208e-5
000985,000099,中信海直,2.6126977108748565e-4
000985,000100,TCL科技,0.001889181421709512
000985,000151,中成股份,6.029302409711208e-5
000985,000153,丰原药业,4.0195349398074726e-5
