t_adx,t_cci,t_xad,t_xbd,t_sgd,xa_thr,xb_thr,t_max,r_max,r_min,apy_mean,apy_sd
133,68,14,15,12,0.54,0.57,68,0.08,-0.77,0.101734647402996,0.0568004410714669
124,68,14,16,12,0.54,0.57,68,0.08,-0.77,0.107545058401391,0.0570054852602834
124,68,14,16,10,0.54,0.57,68,0.08,-0.77,0.104218957717276,0.0592270737419366
109,68,14,16,11,0.54,0.57,68,0.08,-0.77,0.110304855107316,0.0559683818360652
109,68,14,16,11,0.54,0.57,68,0.1,-0.77,0.123061926649862,0.0614509800205824
109,68,14,15,11,0.54,0.57,68,0.1,-0.77,0.124762812288477,0.0593365306079388
109,68,15,15,11,0.54,0.57,68,0.1,-0.77,0.118095916190787,0.0573077389933336
109,82,14,15,11,0.54,0.57,68,0.1,-0.77,0.112736249123672,0.0610287409189112
109,75,14,15,11,0.54,0.57,68,0.1,-0.74,0.115809089179273,0.0597616768687314
109,72,14,15,11,0.54,0.57,68,0.1,-0.84,0.111658089769978,0.0601133764525643
109,70,14,15,11,0.54,0.64,68,0.1,-0.8,0.111070791398617,0.0626243013928158
109,69,14,15,11,0.54,0.6,68,0.11,-0.78,0.115125217480655,0.065240462652678
109,68,14,15,11,0.54,0.57,68,0.1,-0.78,0.117703986694707,0.0607226368877781
109,68,14,15,11,0.73,0.57,68,0.1,-0.78,0.121680401153555,0.0587820121989336
109,68,16,15,11,0.64,0.57,68,0.1,-0.78,0.11202057235877,0.0546504363570557
109,68,15,13,11,0.59,0.57,68,0.1,-0.78,0.111711734266349,0.0569651750962204
109,68,14,14,11,0.56,0.54,68,0.1,-0.78,0.114785484784374,0.0575636537971344
109,68,14,14,11,0.55,0.55,68,0.11,-0.78,0.113977805431039,0.0641108062216642
128,68,14,14,11,0.54,0.56,68,0.1,-0.78,0.118905904477837,0.0607614594839465
118,68,14,14,11,0.54,0.56,59,0.1,-0.78,0.108786598085764,0.0595037367845546
114,68,14,14,11,0.7,0.56,64,0.1,-0.78,0.11452294476874,0.0616573727675794
112,68,14,14,11,0.62,0.56,66,0.1,-0.64,0.0979525213646916,0.0546271285128079
110,68,14,14,11,0.54,0.56,67,0.1,-0.7,0.116504409390865,0.0625742638279903
142,68,14,14,11,0.54,0.56,68,0.1,-0.74,0.120404331711218,0.0700582043232913
126,68,14,14,11,0.54,0.56,68,0.1,-0.76,0.121978097789047,0.0608426165227891
118,68,14,14,11,0.54,0.56,63,0.1,-0.76,0.108969368765338,0.0574978509533301
143,68,14,14,11,0.54,0.56,66,0.1,-0.76,0.117710631102568,0.0662306297004251
115,68,14,14,11,0.54,0.56,67,0.1,-0.76,0.112541141452482,0.0665162195274015
112,68,15,14,11,0.54,0.56,68,0.1,-0.76,0.118880784976096,0.0616450455983425
110,68,14,14,11,0.54,0.56,68,0.1,-0.76,0.123096398129719,0.0652012908078938
110,68,14,14,11,0.73,0.56,68,0.1,-0.76,0.129494176809862,0.0595099885577397
110,68,14,14,12,0.73,0.56,68,0.1,-0.76,0.131362288177479,0.0584734727048016
110,68,14,14,12,0.73,0.49,68,0.1,-0.76,0.108863262795297,0.07541922621538
153,68,14,14,12,0.73,0.52,68,0.1,-0.76,0.106244966040796,0.0855757181659663
132,51,14,14,12,0.73,0.54,68,0.1,-0.76,0.128253241633694,0.0571794405760396
121,60,14,14,12,0.71,0.55,68,0.1,-0.76,0.123249331136575,0.0582087308970102
116,64,14,14,12,0.72,0.56,68,0.1,-0.82,0.128545444377578,0.0538113526392142
116,64,17,14,12,0.72,0.56,68,0.1,-0.82,0.128562691526511,0.0620006778532386
116,64,16,14,11,0.72,0.56,68,0.1,-0.82,0.123944176262751,0.0593311586785618
116,64,15,11,12,0.72,0.56,68,0.1,-0.82,0.126739238325839,0.0567058074141144
116,55,14,12,12,0.72,0.56,68,0.1,-0.82,0.131015880503075,0.0552478810002563
116,55,14,12,12,0.72,0.56,68,0.1,-0.82,0.126446825794673,0.0576692786856144
138,55,14,12,12,0.72,0.56,68,0.1,-0.82,0.134879222665994,0.0597646445892821
127,55,14,12,12,0.71,0.56,68,0.1,-0.82,0.124094262241529,0.0555873322251586
122,55,14,12,12,0.72,0.54,68,0.1,-0.82,0.133434111928629,0.0571552680031446
122,55,14,12,15,0.72,0.54,68,0.1,-0.82,0.135091838491759,0.0587391013075987
122,55,14,12,14,0.76,0.54,68,0.1,-0.82,0.131132820371435,0.0608610421888824
122,55,14,14,13,0.74,0.54,68,0.1,-0.82,0.132702089907171,0.0568997829564794
