t_adx,t_cci,t_xad,t_xbd,t_sgd,xa_thr,xb_thr,t_max,r_max,r_min,apy_mean,apy_sd
82,135,19,3,19,0.23,0.73,153,0.11,-0.83,0.0986442147408866,0.0850075690744937
185,172,14,13,11,0.93,0.59,156,0.1,-0.58,0.0662032003797953,0.0601682891408844
196,56,8,10,16,0.73,0.76,172,0.07,-0.81,0.0936859846031733,0.0601826968662363
75,90,18,4,7,0.72,0.2,169,0.16,-0.08,0.0847657816875248,0.0650885180213152
120,25,11,11,14,0.41,0.88,69,0.15,-0.05,0.000450548615570909,0.0928442621367754
182,116,7,12,6,0.04,0.6,85,0.17,-0.68,0.0467121851057223,0.0776527517460091
8,59,13,20,15,0.29,0.24,94,0.12,-0.9,0.0739398908103,0.0637675034145027
65,100,2,14,17,0.87,0.99,49,0.2,-1,0.0336884592470699,0.079416517413658
39,154,20,6,10,0.83,0.82,148,0.08,-0.67,0.115770247223732,0.0909506094401056
197,64,15,18,8,0.45,0.7,50,0.06,-0.69,0.0463667918490922,0.0519834042602616
102,62,14,19,11,0.37,0.47,72,0.09,-0.79,0.0939013320661057,0.0557366688008115
102,62,14,19,11,0.31,0.47,72,0.09,-0.79,0.0943364340837686,0.0580455062921226
102,81,14,19,11,0.34,0.47,72,0.09,-0.79,0.0827698611772465,0.0552958952384962
102,72,14,16,11,0.36,0.47,72,0.09,-0.79,0.0906873004844862,0.0569593709222153
102,67,14,18,11,0.36,0.47,71,0.09,-0.79,0.0880060016128522,0.0583505327477433
102,64,14,18,11,0.36,0.55,72,0.09,-0.79,0.0893960947495101,0.0552496263061348
102,63,14,18,11,0.36,0.51,72,0.08,-0.79,0.0899139271142531,0.0545778625400102
102,62,14,18,11,0.38,0.49,72,0.08,-0.79,0.0934371217654472,0.0611997498405183
102,62,17,18,11,0.38,0.48,72,0.08,-0.79,0.0956627771441668,0.0589152022222429
102,62,16,18,11,0.36,0.48,72,0.08,-0.79,0.0921880043216792,0.0556125998773784
102,62,14,18,11,0.36,0.48,72,0.08,-0.79,0.0885514148037526,0.0583453480673973
102,62,14,18,11,0.36,0.48,72,0.08,-0.63,0.0883823389820951,0.0561790611306382
102,62,14,18,11,0.36,0.48,57,0.08,-0.71,0.0872112899857758,0.0555604464535007
102,62,15,18,11,0.36,0.48,64,0.08,-0.75,0.0895121646796902,0.0567016897113486
116,62,14,18,11,0.36,0.48,68,0.08,-0.77,0.0966313425904221,0.0589507181484359
141,62,14,18,11,0.36,0.48,68,0.08,-0.77,0.100291889915401,0.0694943443869268
128,62,14,18,11,0.36,0.56,68,0.08,-0.77,0.098517231858994,0.0571009711886564
128,62,15,18,11,0.36,0.56,68,0.08,-0.77,0.100618996896796,0.054467173136568
128,62,13,18,11,0.36,0.56,68,0.08,-0.77,0.0946658056714538,0.0556713723498267
128,62,14,18,11,0.36,0.54,68,0.08,-0.77,0.0967180306123504,0.0574495109117668
128,62,14,18,10,0.36,0.55,68,0.08,-0.77,0.0980405017356596,0.0567402019412857
128,60,14,18,10,0.36,0.56,68,0.08,-0.77,0.0960361362681347,0.0576186823678264
128,61,14,18,14,0.36,0.56,68,0.08,-0.77,0.0943327217177461,0.0580277095393275
128,62,14,18,12,0.36,0.56,58,0.08,-0.77,0.0887394732516867,0.0519104886106128
128,106,14,18,12,0.36,0.56,63,0.08,-0.77,0.0925663919522616,0.0516533425119766
149,84,14,18,12,0.36,0.56,66,0.08,-0.77,0.0938614150384925,0.063308163937276
138,73,14,18,12,0.36,0.56,67,0.08,-0.77,0.0948516668951932,0.0630737365163172
133,68,14,18,12,0.54,0.56,68,0.08,-0.77,0.111887071530055,0.0645658771663911
133,68,14,18,12,0.54,0.56,68,0.08,-0.77,0.108800036385382,0.064738560065432
133,68,14,18,12,0.54,0.58,68,0.08,-0.77,0.108206660585678,0.0631757841738004
