date,apy
2015-03-05,0.277305609356543
2015-03-09,0.246870934517104
2015-03-13,0.300295726152839
2015-03-17,0.152469126384125
2015-03-17,0.215760111099781
2015-03-17,0.163066682722625
2015-03-19,0.153370745111175
2015-04-02,0.217910750424645
2015-04-08,0.0637400305855978
2015-04-08,0.192845045577503
2015-04-10,0.103368498964863
2015-04-24,-0.114166582115441
2015-04-27,0.0419354041933961
2015-04-28,0.0335187382055283
2015-04-29,-0.00936198591116373
2015-04-30,-0.100712230890372
2015-05-04,-0.0998094760032737
2015-05-07,0.0809131946568095
2015-05-08,0.0468400484037707
2015-05-11,-0.0884732264640806
2015-05-15,-0.102971250804957
2015-05-26,-0.160546027140349
2015-05-28,-0.222829545504536
2015-06-02,-0.357725968158442
2015-06-05,-0.361755999978168
2015-06-09,-0.338346407089995
2015-07-02,-0.00588125009754958
2015-07-06,0.0166935340209545
2015-07-06,0.0641627087940649
2015-07-08,0.0572180295588133
2015-07-14,0.113943996510333
2015-07-14,0.0259390460108041
2015-07-22,0.145629708188612
2015-07-24,0.0790276944643987
2015-07-29,0.281683063171098
2015-08-04,0.231326714447742
2015-08-06,0.235268857397374
2015-08-06,0.275933521715926
2015-08-07,0.224772984310123
2015-08-19,0.143034399877638
2015-08-19,0.180908683650903
2015-08-20,0.135083889569736
2015-08-26,0.355252721270868
2015-08-26,0.321692098184415
2015-08-27,0.265143633796732
2015-08-27,0.351523383120307
2015-08-27,0.312446628316283
2015-08-27,0.366973667535458
2015-08-28,0.259515410728581
2015-09-02,0.208457131349588
2015-09-08,0.289774973250757
2015-09-08,0.229705091943823
2015-09-09,0.214280925549593
2015-09-15,0.441667008617296
2015-09-17,0.389753507803936
2015-09-18,0.366764817397676
2015-09-21,0.268621558069999
2015-09-24,0.209818094243997
2015-09-24,0.244397731112598
2015-10-08,0.230538223874418
2015-10-12,0.215478957569527
2015-10-13,0.192703817310814
2015-10-13,0.160501879887886
2015-10-13,0.141099374548582
2015-10-15,0.202954139696104
2015-10-21,0.122493357631721
2015-10-23,0.194140003749436
2015-10-30,0.304046237326258
2015-11-02,0.345904032540381
2015-11-04,0.307918542022296
2015-11-13,0.219313333046566
2015-11-17,0.214646327126743
2015-11-19,0.133221732785148
2015-11-19,0.207136884777844
2015-11-23,0.133810661523867
2015-11-24,0.152799356825221
2015-11-27,0.242731002904341
2015-12-03,0.236941536864771
2015-12-07,0.330020197573841
2015-12-10,0.229295886141801
2015-12-11,0.309243398942974
2015-12-14,0.29253216090156
2015-12-22,0.170373718287612
2015-12-29,0.148716993435729
2015-12-31,0.24475420698257
2015-12-31,0.209276606153156
2016-01-04,0.230431163124222
2016-01-11,0.348265800930069
2016-01-13,0.428848906880742
2016-01-15,0.342886674661098
2016-01-15,0.428820741643319
2016-01-18,0.299793067487782
2016-01-25,0.372799925199734
2016-01-26,0.343486917691448
2016-01-27,0.443652921560688
2016-02-04,0.352007133858919
2016-02-05,0.30413309244972
2016-02-05,0.328125450092444
2016-02-15,0.313299141868389
2016-02-16,0.32668219813302
2016-02-23,0.246862887486394
2016-03-07,0.500761286845751
2016-03-10,0.46487483567688
2016-03-11,0.433073887343224
2016-03-11,0.415641562321777
2016-03-15,0.414951329060668
2016-03-16,0.534510065549344
2016-03-18,0.432380079554639
2016-03-21,0.316399084339596
2016-03-22,0.451419665291983
2016-03-23,0.327949111714694
2016-03-23,0.382004930102768
2016-03-29,0.419115211730824
2016-04-12,0.401468729113345
2016-04-15,0.25300409013817
2016-04-18,0.251276154449879
2016-04-18,0.242887321272469
2016-04-18,0.297635782831587
2016-04-20,0.271863844873972
2016-04-20,0.348915265289478
2016-04-26,0.335523342094603
2016-05-09,0.398407949452452
2016-05-10,0.321973339908014
2016-05-11,0.347581932475664
2016-05-19,0.432328368480179
2016-05-20,0.345629900222088
2016-05-24,0.411145427900512
2016-05-24,0.322373184621807
2016-06-02,0.173135441741095
2016-06-23,0.109622475916048
2016-07-05,0.141469181734125
2016-07-06,0.126479470845038
2016-07-07,0.25773930716966
2016-07-08,0.124059867451637
2016-07-19,0.200181145125429
2016-07-27,0.259509808218522
2016-07-27,0.260557166252974
2016-08-02,0.258416577600802
2016-08-03,0.102871516060488
2016-08-04,0.268248170691548
2016-08-04,0.238368529031189
2016-08-09,0.0851140486601942
2016-08-10,0.164499469030505
2016-08-10,0.274229989598537
2016-08-12,0.221083270178872
2016-08-16,0.200649519090809
2016-08-22,0.210486029449114
2016-08-22,0.196717774283029
2016-08-24,0.187147697000559
2016-08-25,0.308258727699204
2016-08-25,0.288185666375915
2016-08-26,0.251214635178916
2016-08-26,0.218967206128381
2016-08-29,0.129090607027773
2016-08-30,0.178900161647558
2016-08-31,0.209615596578916
2016-08-31,0.194860326195244
2016-09-01,0.19496043815997
2016-09-02,0.206685892024202
2016-09-05,0.238467918438566
2016-09-05,0.119959620776195
2016-09-19,0.20272777591243
2016-09-23,0.188193733971454
2016-09-23,0.223327688090315
2016-09-28,0.234772943290123
2016-09-28,0.241444941326588
2016-09-29,0.256804669182106
2016-10-11,0.154632689801438
2016-10-11,0.162362595854581
2016-10-12,0.152842650710291
2016-10-14,0.126850588824916
2016-10-17,0.220545882488879
2016-10-24,0.149113686068629
2016-10-25,0.105771719014318
2016-10-25,0.196805753706628
2016-10-26,0.230870735437363
2016-10-27,0.24996590398255
2016-10-27,0.179960233550723
2016-10-28,0.252206678310918
2016-10-31,0.242570606435124
2016-11-10,0.210265848476146
2016-11-16,0.200137031977764
2016-11-17,0.208324693239944
2016-11-17,0.181505148395824
